Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
106,1/29/2024,ويندوز,Windows,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
107,1/29/2024,أوفيس,Office,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
109,1/29/2024,أبل,Apple,Apple,https://shbabbek.com/show/228407,boycott,,,,
110,1/29/2024,ماك,Mac,Apple,https://shbabbek.com/show/228407,boycott,,,,
111,1/29/2024,ايفون,iPhone,Apple,https://shbabbek.com/show/228407,boycott,,,,
112,1/29/2024,ايباد,iPad,Apple,https://shbabbek.com/show/228407,boycott,,,,
113,1/29/2024,اي او اس,iOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
114,1/29/2024,اي او اس,iOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
115,1/29/2024,سيرفس,Surface,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
116,1/29/2024,ساعة ابل,Apple Watch,Apple,https://shbabbek.com/show/228407,boycott,,,,
117,1/29/2024,ابل ووتش,Apple Watch,Apple,https://shbabbek.com/show/228407,boycott,,,,
118,1/29/2024,سماعات ابل,Airpods,Apple,https://shbabbek.com/show/228407,boycott,,,,
119,1/29/2024,ايباد او اس,iPadOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
120,1/29/2024,ماك بوك - ماكبوك,MacBook,Apple,https://shbabbek.com/show/228407,boycott,,,,
121,1/29/2024,ماك او اس,MacOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
122,1/29/2024,نظارة ابل للواقع المعزز - ابل فيجن,Apple Vesion,Apple,https://shbabbek.com/show/228407,boycott,,,,
124,1/29/2024,صصص,صصصص,صصصص,صصصصص,boycott,,,,
129,1/29/2024,إنتيل,Intel,Intel,"https://www.alaraby.co.uk/economy/شركات-ضخمة-تدعم-إسرائيل-مالياً-تعرّف-إلى-أشهرها
يفضل استخدام vpn علشان الموقع مش شغال في مصر تقريبا او دا عندي بس",boycott,,,,
133,1/29/2024,test,test,test,testt,boycott,,,,
135,1/29/2024,عربي,english,testcompany,i dont know,boycott,,,,
138,1/29/2024,يوتيوب ريفانزيد,Youtube revanced,Revanced,استعمال microG بدل جوجل ودا بيقلل الاستفاده ليهم وهو يوتيوب بدون اعلانات وبمميزات اكثر,boycott,,,,
139,1/29/2024,شركة 1,company 1,company 2,idk really why but yea,boycott,,,,
142,1/29/2024,سليمبوك,Slimbook,Slimbook,شركة كمبيوترات بديلة لديل واتش بي,boycott,,,,
149,1/30/2024,QWE,QWE,QWEQWE,QWEQWE,boycott,,,,
150,1/30/2024,العربية هنااااا,ENGLISH HEREEE,QWEQWE,I DONT REALLY KNOW,boycott,,,,
155,1/30/2024,تييم,Teem,Pepsi cola,"مكتوب علي العبوه 
ومعروف علي النت",boycott,,,,
156,1/30/2024,بيسكو مصر,Bisco misr,معرفش ,معرفش,boycott,,,,
158,1/30/2024,ابل,ابل,ابل,قام تيم كوك الرئيس التنفذي لشركة ابل بالتبرع لاهل القتلى من الجنود الاسرائيليون ,boycott,,,,
159,1/30/2024,هوهوز,,ايديتا,هوهوز منتج من ايديتا المصرية مثل مولتو وبيك رولز.. كيف يكون احد منتجات الشركة داعم والمنتج الاخر بديل,boycott,,,,
160,1/30/2024,شاي أحمد تي ,Ahmad Tea,أحمد تي ,يعتبر شاي أحمد تي من أبرز أنواع الشاي المتواجد فى السوق المصري، ولكنه تابع لشركة أوروبية، لذلك فينضم لقائمة المقاطعة، ويعتبر ضمن المنتجات الداعمة للكيان الصهيوني.,boycott,,,,
161,1/30/2024,بسكو مصر ,Bisco Misr ,Kellogg's,أعلنت شركة كلوجز الأمريكية المدرجة في بورصة نيويورك حصولها على 85.93% أي ما يعادل 9.8 مليون سهم من أسهم شركة بسكو مصر.,boycott,,,,
164,1/30/2024,ايفون,Iphone ,Apple ,Apple ,boycott,,,,
165,1/30/2024,بوكي (بوكي تيوب),Poke (PokeTube),https://ashley0143.xyz (Ashley),فرنت اند (واجهة) لموقع اليوتيوب مفتوح المصدر ولا يحتوي على أي تعقب ولا اعلانات وبه روابط تبرع لفلسطين 🇵🇸 ,boycott,,,,
168,1/30/2024,بيبسي ,pepsi,شركه pepsi ,لانها في قائمت المقاطعه وتبع الصهاينة ,boycott,,,,
182,1/30/2024,تودو,TODO,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
183,1/30/2024,مولتو,Molto,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
184,1/30/2024,توينكيز,Twinkies,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
185,1/30/2024,هوهوز,HOHOs,إيديتا,نظرا لشراكتها مع شركة هوستس الأمريكية,boycott,,,,
190,1/30/2024,تسالي,tasali,PepsiCo,احد منتجات شركة PepsiCo يباع بدول الخليج,boycott,,,,
192,1/30/2024,اوكسي,Oxi,أرما للصابون والمنظفات,غير متأكد,boycott,,,,
193,1/30/2024,Hammett York,,Hammett York,Hammett York,boycott,,,,
194,1/30/2024,تيم هورتونز,Tim Hortons, Restaurant Brands International Inc  (RBI),"قرأت بضعت مقالات تثبت ذلك, حيث ان تيم هورتونز قدمت لجيش الدفاع الإسرائيلي القهوة والطعام كمساعدة لهم وبإقرار من حساب إسرائيل في كندا نفسه 
هنا المقال الذي وضح كل شي مع الأدلة ولكنه بالانجليزي بالطبع :
https://www.mayniaga.com/is-tim-hortons-supportive-of-israel-explained/",boycott,,,,
195,1/30/2024,فريسكا,Fresca ,ايديتا,ايديتا بها اسهم اجنبية,boycott,,,,
196,1/30/2024,احمد تي,ahmed tea,ahmed tea,منت من دولة داعمة,boycott,,,,
201,1/31/2024,بربيكان,Barbican,شركة العوجان كوكا كولا للمشروبات,كوكا كولا تستحوذ على 50% من شركة العوجان مقابل 980 مليون دولار منذ 2011,boycott,,,,
210,1/31/2024,بوبانا,bobana,bobana,hair care and skin care,boycott,,,,
212,1/31/2024,ادوبي ,Adobe,Adobe Inc,"https://www.crikey.com.au/2023/11/01/israel-gaza-adobe-artificial-intelligence-images-fake-news/
second :",boycott,,,,
213,1/31/2024,مرسيديس,Mercedes,Mercedes Benz ,شركه المانيه لدعم الكيان,boycott,,,,
214,1/31/2024,ماسيمو دوتي,Massimo Dutti,Inditex,مالك الشركة هو نفسه مالك شركة زارا وباقي الشرطات الداعمة,boycott,,,,
215,1/31/2024,تاكي,Taki,تاكي,الموقع الرسمي كطتوب,boycott,,,,
216,1/31/2024,فوربد,Forbed,Forbed,الموقع الرسمي,boycott,,,,
217,1/31/2024,بيك رولز,Bake rolz,Edita ,تعاون مع شركات أمريكية ,boycott,,,,
225,1/31/2024,كيلوجز نودلز ,Kellogg's noodles ,Kellogg ,شركة أمريكية  https://en.m.wikipedia.org/wiki/Kellogg%27s,boycott,,,,
227,1/31/2024,ويندوز,Windows,Microsoft,نظام تشغيل مدفوع من صنع شركة أمريكية.,boycott,,,,
228,1/31/2024,أوفيس,Office,Microsoft,برنامج أو خدمة مدفوعة من صنع شركة أمريكية.,boycott,,,,
231,1/31/2024,نيتفليكس,Netflix,Netflix,Netflix تدعم اليهود و الشواذ,boycott,,,,
234,2/1/2024,واتس فيس انستا ماسنجر شركه  ميتا ع,WhatsApp face insta ,شركه ميتا,"لان فيس يحظر و يحكم كل ما ننشر وحظر ممكن بديل تلجرام telegram روسي مقره دبى  او  سجنال signal امركيى على ما اعتقد لكن على الاقل ليس بيدعم بشكل رسمى او لا نعرف بعد دعمه او من عدمه  او  Bip app  وهذا تطيبق تركى لكن تاكد من صحتهم هل يدعمون او لا 
",boycott,,,,
237,2/1/2024,سوبيكو,supeco,كارفور,سلسلة محلات تجارية تابعة لكارفور,boycott,,,,
238,2/1/2024,صودا ستريم,SodaStream,SodaStream International Ltd ,"sodastream.com
SodaStream International Ltd. is an Israel-based manufacturing company best known as the maker of the consumer home carbonation product of the same name. The company's soda machines, in the style of",boycott,,,,
239,2/1/2024,ريـ /ماكس,RE/MAX,"RE/MAX, short for Real Estate Maximums, is an American international real estate company","RE/MAX Israel, a franchise of RE/MAX International, sells homes in Jewish-only settlements on illegally confiscated Palestinian land. Settlements have displaced thousands of Palestinian families and are in direct violation of international law. We call on RE/MAX International to establish and disseminate clear policies and guidelines for all Re/Max brokers and agents stating that they should not sell, rent, or publicize properties that are built on settlements in East Jerusalem and the West Bank. Further, members of the Re/Max network should not refer clients to brokers and agents who are involved with such illegal properties. ",boycott,,,,
241,2/1/2024,تيفا,teva,teva pharmaceuticals  ,شركة يهودية عالميه لصناعة الأدوية,boycott,,,,
246,2/28/2024,حليب بخيره ,Bekhero milk ,جهينة,شركة جهينة مصرية 100%,boycott,,,,
247,2/28/2024,م,م,مم,ممممااااااااااااااااااااااااااااااااااااا,boycott,,,,
248,2/28/2024,شاي احمد ,ahmed tea,ahmed tea,"يعبأ في الامارات وله علاقه ببريطانيا
",boycott,,,,
249,2/28/2024,خير زمان  ,,مجموعه منصور,"



https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1",boycott,,,,
250,2/28/2024,مترو  ,metro,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
251,2/28/2024,مياه حياه ,,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
252,2/28/2024,صن شاين ,,مجموعه منصور,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9_%D9%85%D9%86%D8%B5%D9%88%D8%B1,boycott,,,,
253,2/28/2024, جميع منتجات ايديتا /ارجو البحث عن المؤسسه المكتوبه في الاثبات ,All Edita products,edita,"سؤال : هل edita مصرية ؟
الاجابة : اه الشركة مصرية 100% و ش.م.م وكل حاجه بس 
  تعالى نبص على حملة الأسهم (الشركاء او المستثمرين) في الشركة هما مين والكلام الآتي ذكره ده بناءا على تقرير تدقيق مالي لمؤسسة ""Grant Thornton"" وهي مؤسسة عملاقة تقدر تبحث عنها فجوجل والتقرير 
فديسمبر 2022 يعني مش قديم
 Company are Quantum Investment BV 
holding
 42.67%
شركة اسثمارات مقرها في هولندا ودي ليها الحصة الأكبر وممثيلنها هما عائلة برزي مؤسسي edita 
 the Bank of New York Mellon (acting as depositary bank for shares traded in London Stock 
Exchange) managing 
11.7%
BNY بنك أمريكاني  
Kingsway Fund Frontier Consumer Franchises 
holding 
9.11%
شركة اسثمارات في لندن 
RIMCO E GT Investment LLC holding 
5.35%
شركة مصرية
وباقي الأسهم متوزعة بين اكتر من حد 
يعني ببساطة الشركة مصرية ده أكيد ، بس امريكا وبريطانياو هولندا واكلين منها معظمها
منتجات edita:
هوهوز
 توينكز
 تودو 
ميمكس 
مولتو
 بيك رولز 
 بيك ستيكس
 فريسكا 
  تايجر تيل
 فورني
 اونيرو لافا/بالأضافه ان هوهوز وتوينكز وكيكه تايجر تيل اتصنعوا بشراكه مع هوستس الامريكيه 
",boycott,,,,
254,2/28/2024,سبينس,spinneys,spinneys,"مالك الشركه صندوق انفستيك الاماراتي وتقدلروا تبحثوا وتتأكدوا
",boycott,,,,
257,2/29/2024,ديلى ديف,DailyDev,Dailydev,https://x.com/zeyadetman/status/1744446410039181321?s=46,boycott,,,,
259,2/29/2024,كيلوجز نودلز ,Kellogg's noodles ,Kellogg,شركة أمريكية ,boycott,,,,
261,2/29/2024,دولسي ,Dolce ,Nestle ,مكتوب على العبوة دليل نستلة الغذائي,boycott,,,,
262,2/29/2024,مولتو,Molto ,إديتا ,"التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا",boycott,,,,
263,2/29/2024,فريسكا ,Freska ,إديتا ,"التقرير الرسمي المالي لشركة ايديتا ٢٠٢٢ بيأكد ان النسبة الاكبر من اسهم شركة ايديتا بترجع لشركة كوانتم الهولندية بنسبة %٤٢% من اجمالي اسهم الشركة، مع العلم ان شركة كوانتم ليها فروع رئيسية في لندن ونيويورك

وخليني ازيدك من الشعر بيت ان التقرير موضح ان حوالي ۱۲٪ من اسهم شركة ايديتا من نصيب بنك امريكي و %٥.٥% من أسهم الشركة من نصيب شركة استثمارات في لندن

بالتالي الشركات دي بتدفع ضرايب لامريكا والضرايب دي بتتحول لدعم بصور مختلفة للي ما يتسموا زي ما كلنا شفنا",boycott,,,,
267,3/1/2024,كوكي,Koki,Amricana group,امريكانا جروب تدعم الاحتلال,boycott,,,,
270,3/2/2024,شاي احمد,Ahmad tea ,Ahmad tea,"على الرغم من انا مؤسس الشركة هو رجل اعمال ايراني الا أن شاي احمد يباع في السوق الإسرائيلي ويعد من أكبر شركات الشاي إذا لم يكن أكبرها
https://youtu.be/ZawkPQZAIZc?si=uF-8-l6SBdFgs-c0
في هذا الفيديو يظهر شاي احمد على صفحة لبيع المنتجات الغذائية في الكيان المحتل 
",boycott,,,,
271,3/2/2024,جي بي تي,GPT,OpenAI,"شركة OpenAI بتدعم Microsoft لأن Bing مبني علي نموذج GPT، وطبعاً Microsoft بتدعم الصهاينة، وبالتالي كل الmodels اللي مبنية علي GPT تبع  المقاطعة (زي Magic School وNotion AI وDALL-E)

https://en.globes.co.il/en/article-microsoft-grants-israeli-employees-special-war-allowance-1001462178

https://cnbc.com/2023/01/10/microsoft-to-invest-10-billion-in-chatgpt-creator-openai-report-says.html",boycott,,,,
272,3/3/2024,كلينيكس,Kleenex ,كمبرلي كلارك,داعم للاحتلال,boycott,,,,
274,3/3/2024,سامسونج,Samsung,Samsung,تعد شركة سامسونج من أشهر شركات الجوال المنتشرة في جميع الدول العربية والأجنبية. كما تتم صناعة هواتف سامسونج في دولة كوريا الجنوبية، وهي من شركات الجوال الداعمة لإسرائيل، وذلك لأنها تابعة لشركة استثمارية إسرائيلية.,boycott,,,,
275,3/3/2024,نوكيا,Nokia,Nokia,صرح المدير العام للشركة مسبقاً عبر صحيفة جيروزاليم بوست الصهيونية، عن تركيز نوكيا على دعم إسرَائيل من كافة الجهات، عبر إنشاء مشروع داخلي يدعى (مشروع اسرَائيل) لتطوير شبكات الاتصال فيها منذ عام 2020، إلى جانب ذلك خصصت نوكيا صندوق دعم لاسرَائيل منذ عام 2000 حيث وصلت قيمة التبرعات حينها إلى 500 مليون دولار,boycott,,,,
276,3/3/2024,آبل,Apple,Apple,"تتمتع شركة ""آبل"" بحضور كبير في إسرائيل، أنشأت الشركة مراكز بحث وتطوير في إسرائيل، وتوظف آلاف المهندسين الإسرائيليين وتساهم في الاقتصاد المحلي، ويشير هذا الاستثمار إلى أن شركة ""آبل"" ترى قيمة في التقدم التكنولوجي الذي تقدمه إسرائيل.",boycott,,,,
278,3/3/2024,نيفيا,nivea,nivea,شركة نيفيا هي شركة المانية وهي من ابرز داعمين اسراءيل,boycott,,,,
280,3/3/2024,سيجنال,signal ,signal,",,,,,,",boycott,,,,
287,3/4/2024,فيس بوك,Facebook,مارك زوكربيرغ,https://www.aljazeera.net/news/2018/3/26/%D9%81%D9%8A%D8%B3%D8%A8%D9%88%D9%83-%D9%81%D9%8A-%D8%AE%D8%AF%D9%85%D8%A9-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84,boycott,,,,
289,3/4/2024,داري,Dari,داري كوسباط,علاقة تجارية بين “داري” المغربية و”تومر” الصهيونية,boycott,,,,
291,3/4/2024,كيلوجز نودلز,Keloggs ,Kellogg ,الشركة الأم الولايات الأمريكية ,boycott,,,,
294,3/5/2024,غوغل,Google,Google,"قامت بإزالة فلسطين من تطبيق الخرائط الخاص بها
وهي بصدد تنفيذ مشروع نيمبيوس الذي يساهم في توسع المستوطنات وجمع المعلومات عن الفلسطينيين بشكل أوفر داخل نطاق الكيان بشكل خاص ومحصور.",boycott,,,,
298,3/6/2024,المهم غاعهننخعتههغعها,,لوواةؤةنعاة,اانانعات,boycott,,,,
299,3/6/2024,نيڤيا,Nivea,Nivea,ولا تعتبر ماركة نيفيا داعمة للقضية الفلسطينية. بل هي إحدى الشركات التي تدعم إسرائيل وحربها على غزة,boycott,,,,
301,3/7/2024,Listerine mouth wash,ليسترين ,جونسون اند جونسون,تابع لشركة جونسون اند جونسون ,boycott,,,,
303,3/8/2024,بريزيدن,Président,Président,https://almunajemfoods.com/ar/brands/president/,boycott,,,,
305,3/8/2024,نيو بالانس,New balance,لا أدري,موجود في موقع بدناش أنه مُقاطع,boycott,,,,
306,3/8/2024, دليس طبيعي,Délice Le Nature ,شركة دليس دانون,"https://delicedanone.com/yaourt/delice-nature/
https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/",boycott,,,,
307,3/8/2024,دليس معطر,Délice Aromatisé  ,دليس دانون,https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/,boycott,,,,
308,3/8/2024,دليس بتيت,P’tit Délice,دليس دانون,https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/,boycott,,,,
309,3/8/2024,دليس بالغلال,Délice aux Fruits,دليس دانون,https://www.google.com/amp/s/fr.timesofisrael.com/danone-met-35-m-de-dans-une-firme-israelienne-specialisee-dans-le-lait-de-culture/amp/,boycott,,,,
310,3/9/2024,كينزا,Kinza,Al Jameel International Co. - Beverages Factory (Kinza),لا يوجد ادلة للدعم، واذا وجد اتمنى ان تتوفر هنا لانه من اكثر البدائل المستخدمة المميزة والممتازة,boycott,,,,
313,3/11/2024,دى جى كير,DG CARE,Al Esraa Pharmaceutical Optima,معجون أسنان,boycott,,,,
315,3/12/2024,كوكي ,koki,Americana ,أسست الشركة في الكويت في عام 1964، وكانت مدرجة في سوق الكويت للأوراق المالية منذ عام 1984 حتى انسحابها منه في عام 2018. وكان أكبر المساهمين فيها شركة الخير الوطنية للاسهم والعقارات (المملوكة بالكامل لمجموعة الخرافي) بـ58.69 % وتم الاستحوذ على الشركة من قبل مجموعة أديبتيو القابضة المحدودة وتعود ملكيتها إلى صندوق الاستثمارات العامة السعودي والمستثمر الإماراتي محمد بن علي بن راشد العبّار.,boycott,,,,
316,3/12/2024,مولتو,Molto,ايديتا,غير متأكد لكن المقاطعه معها منتجات ايديتا مثل توينكز وغيره فهل صحيح ,boycott,,,,
317,3/12/2024,العلالي,Alali,السعودية ,هل خذي الماركة.داعمة؟,boycott,,,,
324,3/15/2024,اسبرين (دواء),Aspirin (medication),Bayer,نشرة مقاطعة من نقابة الصيادلة الاردنية,boycott,,,,
325,3/15/2024,بسومي للالكترونيات,BESOMI ELECTRONICS,-,"الشركة تتعامل مع Edge Group للمقاولات العسكرية و الصناعات الحربية
و شركة EDGE Group متعاونة مع الكيان في تطوير بعض المنظومات الحربية الدفاعية منذ 2021",boycott,,,,
326,3/15/2024,ديادرمين,Diadermine,Henkel,شركة فرنسية ,boycott,,,,
327,3/15/2024,أبل,Apple,Apple,American company,boycott,,,,
328,3/15/2024,سامسونج,Samsung,Samsung,I assume they support Israel,boycott,,,,
330,3/16/2024,سويتكوين,Sweatcoin • Walking step counter,Sweatco Ltd,"مبتدعمش ولا تعرف حاجة عن فلسطين أو غزة
https://sweatco.in/",boycott,,,,
336,3/19/2024,دانون ,Danone,Centrale,هي شركة فرنسية داعمة لإسرائيل ,boycott,,,,
339,3/22/2024,مالبورو,Malboro,Fillip morris international ,شركة أمريكية...,boycott,,,,
340,3/22/2024,نيسلي ,Nestlé ,Nestlé ,شركة أمريكية ,boycott,,,,
341,3/22/2024,هيرشيز,Hersheys,HSY,شركة أمريكية ,boycott,,,,
342,3/22/2024,Asan,,Asan,بديل ,boycott,,,,
343,3/22/2024,Asan,,Naturz,هل هذا المنتج يدعم الكيان او لا,boycott,,,,
344,3/25/2024,كوكي,koki,koki,https://besraha.com/106283,boycott,,,,
345,3/28/2024,أديداس, Adidas,Adidas,"شركة اديداس اصدرت تصريح في بداية الحرب تدعم فيه اسرائيل في ألمانيا و حاليا تريد التبرع ب١٥٠ مليون لجمعية تدعم الصهيونية و اوقفت الشراكة مع المغني كاني ويست لدعمه فلسطين
المصدر:
https://www.google.com/amp/s/www.newarab.com/news/adidas-donate-150-million-pro-israel-adl%3famp",boycott,,,,
346,3/29/2024,رانج روفر,Range rover,Tatar motor,شركة بريطانية ,boycott,,,,
351,3/30/2024,حمود بوعلام,Hamoud Boualem ,حمود بوعلام ,شركة جزائرية ,boycott,,,,
